driver,stop,value,condition,compound,lap,race_assignment,race,year
BOT,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
HAM,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
VER,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
VET,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
LEC,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
MAG,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
HUL,0,C4n,new,C4,0,soft,Australian Grand Prix,2019
RAI,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
STR,0,C3n,new,C3,0,medium,Australian Grand Prix,2019
KVY,0,C3n,new,C3,0,medium,Australian Grand Prix,2019
GAS,0,C3n,new,C3,0,medium,Australian Grand Prix,2019
NOR,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
PER,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
ALB,0,C4n,new,C4,0,soft,Australian Grand Prix,2019
GIO,0,C3n,new,C3,0,medium,Australian Grand Prix,2019
RUS,0,C3n,new,C3,0,medium,Australian Grand Prix,2019
KUB,0,C2n,new,C2,0,hard,Australian Grand Prix,2019
GRO,0,C4u,used,C4,0,soft,Australian Grand Prix,2019
RIC,0,C4n,new,C4,0,soft,Australian Grand Prix,2019
SAI,0,C4n,new,C4,0,soft,Australian Grand Prix,2019
BOT,1,C3n (23),new,C3,23,medium,Australian Grand Prix,2019
HAM,1,C3n (15),new,C3,15,medium,Australian Grand Prix,2019
VER,1,C3n (25),new,C3,25,medium,Australian Grand Prix,2019
VET,1,C3n (14),new,C3,14,medium,Australian Grand Prix,2019
LEC,1,C2n (28),new,C2,28,hard,Australian Grand Prix,2019
MAG,1,C3n (14),new,C3,14,medium,Australian Grand Prix,2019
HUL,1,C2n (13),new,C2,13,hard,Australian Grand Prix,2019
RAI,1,C3n (12),new,C3,12,medium,Australian Grand Prix,2019
STR,1,C2n (27),new,C2,27,hard,Australian Grand Prix,2019
KVY,1,C2u (26),used,C2,26,hard,Australian Grand Prix,2019
GAS,1,C4n (37),new,C4,37,soft,Australian Grand Prix,2019
NOR,1,C2n (15),new,C2,15,hard,Australian Grand Prix,2019
PER,1,C2n (13),new,C2,13,hard,Australian Grand Prix,2019
ALB,1,C3n (14),new,C3,14,medium,Australian Grand Prix,2019
GIO,1,C4n (27),new,C4,27,soft,Australian Grand Prix,2019
RUS,1,C4n (26),new,C4,26,soft,Australian Grand Prix,2019
KUB,1,C3n (1),new,C3,1,medium,Australian Grand Prix,2019
GRO,1,C3n (15),new,C3,15,medium,Australian Grand Prix,2019
RIC,1,C2n (1),new,C2,1,hard,Australian Grand Prix,2019
RUS,2,C2n (42),new,C2,42,hard,Australian Grand Prix,2019
KUB,2,C4n (28),new,C4,28,soft,Australian Grand Prix,2019
KUB,3,C4u (44),used,C4,44,soft,Australian Grand Prix,2019
HAM,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
BOT,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
LEC,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
VER,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
VET,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
NOR,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
RAI,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
GAS,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
ALB,0,C3u,used,C3,0,soft,Bahrain Grand Prix,2019
PER,0,C3n,new,C3,0,soft,Bahrain Grand Prix,2019
GIO,0,C3n,new,C3,0,soft,Bahrain Grand Prix,2019
KVY,0,C3n,new,C3,0,soft,Bahrain Grand Prix,2019
